panel,series,x_name,x,y_name,y,grad_norm
a_trajectory,energy,cycle,32.0,E_hartree,-75.7950220301,0.1291
a_trajectory,energy,cycle,33.0,E_hartree,-75.8075874341,0.083
a_trajectory,energy,cycle,34.0,E_hartree,-75.7959298787,0.1266
a_trajectory,energy,cycle,35.0,E_hartree,-75.8064762537,0.08829
a_trajectory,energy,cycle,36.0,E_hartree,-75.7783287407,0.1893
a_trajectory,energy,cycle,37.0,E_hartree,-75.8094295947,0.079
a_trajectory,energy,cycle,38.0,E_hartree,-75.812526289,0.1213
a_trajectory,energy,cycle,39.0,E_hartree,-75.8155513433,0.03298
a_trajectory,energy,cycle,40.0,E_hartree,-75.8136752084,0.04739
a_trajectory,energy,cycle,41.0,E_hartree,-75.8163660824,0.01683
a_trajectory,energy,cycle,42.0,E_hartree,-75.8088753784,0.0765
a_trajectory,energy,cycle,43.0,E_hartree,-75.816573164,0.01155
a_trajectory,energy,cycle,44.0,E_hartree,-75.8165011327,0.01356
a_trajectory,energy,cycle,45.0,E_hartree,-75.8165092017,0.01314
a_trajectory,energy,cycle,46.0,E_hartree,-75.7895905069,0.1442
a_trajectory,energy,cycle,47.0,E_hartree,-75.8163947296,0.01591
a_trajectory,energy,cycle,48.0,E_hartree,-75.7195426063,0.269
a_trajectory,energy,cycle,49.0,E_hartree,-75.816647864,0.008468
a_trajectory,energy,cycle,50.0,E_hartree,-75.8089768825,0.07581
a_trajectory,energy,cycle,51.0,E_hartree,-75.7158297163,0.2738
a_trajectory,energy,cycle,52.0,E_hartree,-75.7339200827,0.2501
a_trajectory,energy,cycle,53.0,E_hartree,-75.8002163712,0.1124
a_trajectory,energy,cycle,54.0,E_hartree,-75.8152291851,0.03332
a_trajectory,energy,cycle,55.0,E_hartree,-75.8166784134,0.007645
a_trajectory,energy,cycle,56.0,E_hartree,-75.7787948286,0.1717
a_trajectory,energy,cycle,57.0,E_hartree,-75.8132625934,0.05063
a_trajectory,energy,cycle,58.0,E_hartree,-75.8148174413,0.04059
a_trajectory,energy,cycle,59.0,E_hartree,-75.8165391688,0.01239
a_trajectory,energy,cycle,60.0,E_hartree,-75.8162141872,0.01957
a_trajectory,energy,cycle,61.0,E_hartree,-75.8167040719,0.005333
a_trajectory,energy,cycle,62.0,E_hartree,-75.8160129685,0.02295
a_trajectory,energy,cycle,63.0,E_hartree,-75.7371951644,0.2456
a_trajectory,energy,cycle,64.0,E_hartree,-75.8161998431,0.01979
a_trajectory,energy,cycle,65.0,E_hartree,-75.8165886944,0.01054
a_trajectory,energy,cycle,66.0,E_hartree,-75.7159331768,0.2733
a_trajectory,energy,cycle,67.0,E_hartree,-75.8158502827,0.02537
a_trajectory,energy,cycle,68.0,E_hartree,-75.8166254051,0.009311
a_trajectory,energy,cycle,69.0,E_hartree,-75.8166525205,0.008057
a_trajectory,energy,cycle,70.0,E_hartree,-75.8165877752,0.01055
a_trajectory,energy,cycle,71.0,E_hartree,-75.8166058026,0.009926
a_trajectory,energy,cycle,72.0,E_hartree,-75.8166376153,0.008686
a_trajectory,energy,cycle,73.0,E_hartree,-75.8166031633,0.01002
a_trajectory,energy,cycle,74.0,E_hartree,-75.8166523325,0.008038
a_trajectory,energy,cycle,75.0,E_hartree,-75.7158109389,0.2734
a_trajectory,energy,cycle,76.0,E_hartree,-75.8088124927,0.07655
a_trajectory,energy,cycle,77.0,E_hartree,-75.8154663616,0.03037
a_trajectory,energy,cycle,78.0,E_hartree,-75.7168825153,0.272
a_trajectory,energy,cycle,79.0,E_hartree,-75.7162620058,0.2729
a_trajectory,energy,cycle,80.0,E_hartree,-75.7175093605,0.2713
a_trajectory,energy,cycle,81.0,E_hartree,-75.7825785844,0.1641
a_trajectory,energy,cycle,82.0,E_hartree,-75.7975165284,0.1224
a_trajectory,energy,cycle,83.0,E_hartree,-75.7779988232,0.1719
a_trajectory,energy,cycle,84.0,E_hartree,-75.8061403863,0.08934
a_trajectory,energy,cycle,85.0,E_hartree,-75.7700653164,0.1947
a_trajectory,energy,cycle,86.0,E_hartree,-75.7786963698,0.1876
a_trajectory,energy,cycle,87.0,E_hartree,-75.8023189014,0.1092
a_trajectory,energy,cycle,88.0,E_hartree,-75.8096513622,0.1346
a_trajectory,energy,cycle,89.0,E_hartree,-75.8117361309,0.08088
a_trajectory,energy,cycle,90.0,E_hartree,-75.8076060369,0.08642
a_trajectory,energy,cycle,91.0,E_hartree,-75.8148730565,0.0381
a_trajectory,energy,cycle,92.0,E_hartree,-75.8164381519,0.01773
a_trajectory,energy,cycle,93.0,E_hartree,-75.8164062328,0.01664
a_trajectory,energy,cycle,94.0,E_hartree,-75.81636378,0.01719
a_trajectory,energy,cycle,95.0,E_hartree,-75.8164314544,0.01533
a_trajectory,energy,cycle,96.0,E_hartree,-75.7607851966,0.2078
a_trajectory,energy,cycle,97.0,E_hartree,-75.8166499034,0.008691
a_trajectory,energy,cycle,98.0,E_hartree,-75.8167095784,0.005414
a_trajectory,energy,cycle,99.0,E_hartree,-75.7175899504,0.2718
b_solutions,converged_soscf,E_hartree,-75.8167407121,index,0.0,
b_solutions,converged_soscf,E_hartree,-75.736894531,index,1.0,
c_markers,lowest_energy_cycle,cycle,12.0,E_hartree,-75.8167361296,0.003671
c_markers,lowest_gradient_cycle,cycle,25.0,E_hartree,-75.8167357105,0.003177
c_markers,basin_midpoint,cycle,-1.0,E_hartree,-75.77681762155001,
